,genre_fq,sequel_movie,director_follower_count_on_twitter,actor_follower_count_on_twitter,actress_follower_count_on_twitter,official_trailer_view_count_on_youtube,official_trailer_comment_count_on_youtube,official_trailer_like_count_on_youtube,official_trailer_dislike_count_on_youtube,movie_rating_on_imdb,sentiment_analysis
0,0.6,10,0.1427252219699298,0.4890282310254172,0.0,0.271385379670469,0.4218915875824353,0.9764948046581703,0.023505195341829762,8.5,1
1,0.6,1,0.0,0.0328794813882766,0.024289565860332953,0.03691267821048922,0.03508251568280521,0.9628703485008375,0.037129651499162496,7.3,1
2,0.6,10,0.0012236977739454322,0.18780514141480922,0.0,0.06664825103886292,0.03935402927456973,0.9786206822669862,0.021379317733013853,7.8,1
3,0.6,10,0.0,0.09460935658583706,0.002068872078206523,0.07628073618405468,0.060590638571658355,0.950571395490515,0.049428604509485025,6.2,0
4,0.6,1,0.0,0.004158040957967399,0.0,0.03617590192808516,0.01686150876628599,0.9549509128395773,0.04504908716042261,5.7,-1
5,0.6,1,0.0022086412926142227,0.0,0.0,0.12235580865966865,0.14442335531606884,0.9633868896904523,0.03661311030954776,6.7,0
6,0.6,10,0.011937877195137371,0.08765965317330908,0.0,0.05034498251818008,0.024500562972494772,0.9704894587690136,0.029510541230986353,7.8,0
7,0.6,1,0.0,0.0,0.0,0.02505308263395497,0.02919478848319125,0.948367141418501,0.05163285858149907,7.5,0
8,0.05,10,0.023073000757863886,4.8650653199939745e-05,0.0,0.046384200753225406,0.018418529837542223,0.9549797581987318,0.04502024180126815,7.7,1
9,0.05,1,0.03856226528458866,0.008991639692626445,6.609590979182162e-05,0.02804170844409779,0.011902203635193823,0.9822942136624954,0.01770578633750467,8.1,0
10,0.6,10,0.007475704863565591,0.005991184851416109,0.0,0.03885232519713839,0.037138169535145565,0.9776591374814253,0.022340862518574717,7.1,0
11,0.6,10,0.4192401399178863,0.03276523449760582,0.011412550409522746,0.015503068168057486,0.020649831108251568,0.8868730920191888,0.11312690798081117,7.0,1
12,0.1,1,0.34043561470259226,0.027430674475326156,0.0006770424359675595,0.017966888457650543,0.006634067878397941,0.9663313143314693,0.03366868566853069,7.6,0
13,0.6,10,0.005140944759796283,0.010130133872765557,0.0,0.017050542144214833,0.017109216663985845,0.903629800298931,0.09637019970106891,5.4,0
14,0.05,10,0.006047290114537914,0.0009027796455312348,0.0,0.0230876698295176,0.016778510535628115,0.9810646493711421,0.018935350628857844,6.7,-1
15,0.1,1,0.0,0.017107501382211163,0.7876563044336746,0.025146548841850597,0.012644683931156506,0.9725144544851793,0.027485545514820773,7.8,1
16,0.1,1,0.0014150958132994342,0.0004922963837010242,0.006878370997803783,0.03394161456248078,0.016589995174521473,0.9587360766611718,0.0412639233388282,5.4,0
17,0.1,1,0.0,0.0,0.005836969851842914,0.026360906518516043,0.034172752131253016,0.9629248719645614,0.03707512803543854,6.7,-1
18,0.6,1,0.0005145055542428456,0.0,0.11904732600334367,0.028096813373582587,0.03215891909281004,0.6725961204326563,0.32740387956734374,6.2,0
19,0.05,1,0.0,0.0,0.04206690201951346,0.014410892865903286,0.0039041338266044717,0.9229628816165166,0.07703711838348341,6.8,1
